[1, '28.5447577', '77.2710399', '207.79']
[2, '28.5447577', '77.2710399', '207.8']
[3, '28.5447577', '77.2710399', '207.79']
[4, '28.5447577', '77.2710399', '207.8']
[5, '28.5447577', '77.2710399', '207.8']
[6, '28.5447577', '77.2710399', '207.8']
[7, '28.5447577', '77.2710399', '207.8']
[8, '28.5447577', '77.27104', '207.79']
[9, '28.5447577', '77.27104', '207.8']
[10, '28.5447577', '77.27104', '207.8']
[11, '28.5447577', '77.27104', '207.8']
[12, '28.5447577', '77.27104', '207.8']
[13, '28.5447579', '77.2710402', '207.8']
[14, '28.5447579', '77.2710402', '207.8']
[15, '28.5447579', '77.2710402', '207.8']
[16, '28.5447579', '77.2710402', '207.8']
[17, '28.5447579', '77.2710402', '207.8']
[18, '28.5447579', '77.2710406', '207.79']
[19, '28.5447579', '77.2710406', '207.8']
[20, '28.5447579', '77.2710406', '207.8']
[21, '28.5447579', '77.2710406', '207.8']
[22, '28.5447579', '77.2710406', '207.81']
[23, '28.5447578', '77.2710409', '207.8']
[24, '28.5447578', '77.2710409', '207.8']
[25, '28.5447578', '77.2710409', '207.8']
[26, '28.5447578', '77.2710409', '207.81']
[27, '28.5447578', '77.2710409', '207.81']
[28, '28.5447578', '77.2710409', '207.81']
[29, '28.5447577', '77.2710411', '207.81']
[30, '28.5447577', '77.2710411', '207.82']
[31, '28.5447577', '77.2710411', '207.82']
[32, '28.5447577', '77.2710411', '207.82']
[33, '28.5447578', '77.2710412', '207.82']
[34, '28.5447578', '77.2710412', '207.82']
[35, '28.5447578', '77.2710412', '207.82']
[36, '28.5447578', '77.2710412', '207.82']
[37, '28.5447578', '77.2710412', '207.82']
[38, '28.5447577', '77.2710412', '207.82']
[39, '28.5447577', '77.2710412', '207.82']
[40, '28.5447577', '77.2710412', '207.82']
[41, '28.5447577', '77.2710412', '207.83']
[42, '28.5447577', '77.2710412', '207.82']
[43, '28.5447578', '77.2710415', '207.82']
[44, '28.5447578', '77.2710415', '207.82']
[45, '28.5447578', '77.2710415', '207.82']
[46, '28.5447578', '77.2710415', '207.82']
[47, '28.5447578', '77.2710415', '207.82']
[48, '28.5447581', '77.2710417', '207.82']
[49, '28.5447581', '77.2710417', '207.82']
[50, '28.5447581', '77.2710417', '207.82']
[51, '28.5447581', '77.2710417', '207.81']
[52, '28.5447581', '77.2710417', '207.82']
[53, '28.5447589', '77.2710419', '207.81']
[54, '28.5447589', '77.2710419', '207.82']
[55, '28.5447589', '77.2710419', '207.82']
[56, '28.5447589', '77.2710419', '207.82']
[57, '28.5447589', '77.2710419', '207.82']
[58, '28.5447601', '77.2710421', '207.81']
[59, '28.5447601', '77.2710421', '207.82']
[60, '28.5447601', '77.2710421', '207.82']
[61, '28.5447601', '77.2710421', '207.82']
[62, '28.5447601', '77.2710421', '207.82']
[63, '28.5447613', '77.2710424', '207.82']
[64, '28.5447613', '77.2710424', '207.82']
[65, '28.5447613', '77.2710424', '207.82']
[66, '28.5447613', '77.2710424', '207.82']
[67, '28.5447613', '77.2710424', '207.83']
[68, '28.5447628', '77.2710426', '207.82']
[69, '28.5447628', '77.2710426', '207.83']
[70, '28.5447628', '77.2710426', '207.83']
[71, '28.5447628', '77.2710426', '207.82']
